Population: 256
Generation: 0



fitness: 279.056  complexity: 6  size: 7
fitness: 281.417  complexity: 6  size: 7
fitness: 303.952  complexity: 6  size: 7
fitness: 340.45  complexity: 6  size: 7


Species: 17.6588  offsprings: 99  size: 103
fitness: 0.178574  complexity: 6  size: 7
fitness: 0.514606  complexity: 6  size: 7
fitness: 0.522794  complexity: 6  size: 7
fitness: 0.880247  complexity: 6  size: 7
fitness: 1.81355  complexity: 6  size: 7
fitness: 2.92689  complexity: 6  size: 7
fitness: 5.15116  complexity: 6  size: 7
fitness: 5.57511  complexity: 6  size: 7
fitness: 5.87622  complexity: 6  size: 7
fitness: 5.93239  complexity: 6  size: 7
fitness: 6.01522  complexity: 6  size: 7
fitness: 6.48779  complexity: 6  size: 7
fitness: 6.91517  complexity: 6  size: 7
fitness: 7.45061  complexity: 6  size: 7
fitness: 7.62487  complexity: 6  size: 7
fitness: 7.97277  complexity: 6  size: 7
fitness: 8.32395  complexity: 6  size: 7
fitness: 8.44193  complexity: 6  size: 7
fitness: 8.48248  complexity: 6  size: 7
fitness: 8.48676  complexity: 6  size: 7
fitness: 8.50503  complexity: 6  size: 7
fitness: 9.06777  complexity: 6  size: 7
fitness: 9.07849  complexity: 6  size: 7
fitness: 9.37883  complexity: 6  size: 7
fitness: 9.57432  complexity: 6  size: 7
fitness: 9.62591  complexity: 6  size: 7
fitness: 9.73875  complexity: 6  size: 7
fitness: 9.89469  complexity: 6  size: 7
fitness: 10.0811  complexity: 6  size: 7
fitness: 10.9294  complexity: 6  size: 7
fitness: 11.3598  complexity: 6  size: 7
fitness: 11.378  complexity: 6  size: 7
fitness: 11.3937  complexity: 6  size: 7
fitness: 11.4028  complexity: 6  size: 7
fitness: 11.443  complexity: 6  size: 7
fitness: 11.4587  complexity: 6  size: 7
fitness: 11.5703  complexity: 6  size: 7
fitness: 11.5974  complexity: 6  size: 7
fitness: 11.6347  complexity: 6  size: 7
fitness: 11.6814  complexity: 6  size: 7
